parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
14504957,,,,2.5,4.0,,,2.5,,,1875.0,1875.0,,,,,6059.0,,2.0,2.0,483.0,,,33646395.0,-117661308.0,5000.0,,,,,,122,261.0,,60590320.292005,32380.0,1286.0,,96962.0,8.0,,1.0,,,,,1979.0,2.0,,156529.0,253502.0,2015.0,96973.0,2598.44,,,60590320292005.0
12761827,,,,2.0,4.0,,7.0,2.0,,,1758.0,1758.0,,,,,6037.0,,2.0,,,,2.0,33895087.0,-118022040.0,9009.0,,,,,,0100,261.0,LMR1*,60375039.024,5465.0,3101.0,,96190.0,0.0,,,,1.0,,,1958.0,,,169962.0,360279.0,2015.0,190317.0,4700.98,,,60375039024000.0
12821224,1.0,,,3.0,4.0,,4.0,3.0,,,2335.0,2335.0,,,,,6037.0,,3.0,,,,2.0,34006049.0,-117992501.0,31653.0,,,,,,0100,261.0,LCA11*,60374084.022005,45602.0,3101.0,,96489.0,0.0,,,,1.0,,,1955.0,,,95916.0,129754.0,2015.0,33838.0,1667.09,,,60374084022005.0
12511699,,,,1.0,2.0,,7.0,1.0,,,945.0,945.0,,,,,6037.0,,1.0,,,,7.0,33783113.0,-118136731.0,2685.0,,,,,,0100,261.0,LBR1N,60375750.023004,46298.0,3101.0,273252.0,96238.0,0.0,,,,1.0,,,1923.0,,,187507.0,401801.0,2015.0,214294.0,4868.4,,,60375750023004.0
13930770,,,,2.0,4.0,,,2.0,,,1203.0,1203.0,,,,,6059.0,,2.0,1.0,390.0,,,33793776.0,-117948077.0,7201.0,,,,,,122,261.0,,60590883.012007,24832.0,1286.0,,97047.0,7.0,,,,,,,1954.0,1.0,,61121.0,322207.0,2015.0,261086.0,6247.9,,,60590883012007.0
14603097,,,,0.0,0.0,,,,,,,,,,,,6059.0,,,,,,,33713188.0,-117950587.0,,,,,,,34,266.0,,60590992.511003,8384.0,1286.0,,97008.0,0.0,,,,,,,,,,155047.0,510023.0,2015.0,354976.0,6419.52,,,60590992511003.0
12415368,1.0,,,3.0,5.0,,1.0,3.0,,,3735.0,3735.0,,,,,6037.0,,3.0,,,,2.0,33858879.0,-118060693.0,7793.0,,,,,,0100,261.0,CERS6500,60375545.17101,10774.0,3101.0,,96206.0,0.0,,,,1.0,,,1989.0,,,668000.0,1224000.0,2015.0,556000.0,13620.78,,,60375545171010.0
14667627,,,,3.0,3.0,,,3.0,,,1222.0,1222.0,,,,,6059.0,,3.0,2.0,0.0,,,33729875.0,-117792669.0,,,,,,,34,266.0,,60590525.243004,27491.0,1286.0,,97018.0,0.0,,,,,,,1995.0,,,164221.0,545360.0,2015.0,381139.0,6380.96,,,60590525243007.0
17185117,,,,1.0,1.0,,,1.0,66.0,912.0,912.0,912.0,,,912.0,,6111.0,,1.0,1.0,0.0,,,34153781.0,-119166669.0,,,,,,,1129,266.0,,61110045.031,13150.0,2061.0,,97104.0,5.0,,,,,,,1980.0,1.0,,62407.0,104008.0,2015.0,41601.0,1174.58,,,61110045031000.0
10864090,1.0,,,2.0,2.0,,4.0,2.0,,,870.0,870.0,,,,,6037.0,,2.0,,,,2.0,34150300.0,-118468000.0,,,,,,,010E,266.0,LAR4,60371413.023005,12447.0,3101.0,27080.0,96412.0,0.0,,,,1.0,,,1988.0,,,189143.0,330948.0,2015.0,141805.0,4086.54,Y,14.0,60371413023005.0
